[2025-10-09 23:44:51] This is codeql database index-files --include-extension=.yaml --include-extension=.yml --size-limit=5m --language yaml -- /home/ateske/codeql-data/Static_Analysis_CodeQL_Info/codeql_python_databases/buggy-clusterfuzz-codeql-db
[2025-10-09 23:44:51] Log file was started late.
[2025-10-09 23:44:52] Using index-files script /home/ateske/codeql/codeql/yaml/tools/index-files.sh.
[2025-10-09 23:44:52] [PROGRESS] database index-files> Scanning for files in /home/ateske/buggy_clusterfuzz...
[2025-10-09 23:44:52] Calling plumbing command: codeql resolve files --include-extension=.yaml --include-extension=.yml --size-limit=5m /home/ateske/buggy_clusterfuzz --format=json
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/gae...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/gae/prod...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/gae/staging...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/gce...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/pubsub...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/redis...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/bot...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/bot/init...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/bot/setup...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/issue_trackers...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/bigquery...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/suppressions...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/configs/test/monitoring...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/src...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/src/python...
[2025-10-09 23:44:52] [PROGRESS] resolve files> Scanning /home/ateske/buggy_clusterfuzz/clusterfuzz/src/python/scripts...
